term,freq,dispersion,collision_signal,toc_home_ranges,exhibit_locs
TIL,227,10,15.42,ch7:63|ch8:30|ch1:29|ch6:29,"p:2,p:4,p:5"
THREADED,125,10,9.88,ch6:40|ch7:26|ch4:18|ch5:14,"p:2,p:4,p:6"
INTERPRETIVE,124,10,9.88,ch6:40|ch7:26|ch4:18|ch5:14,"p:2,p:4,p:6"
LANGUAGES,124,10,9.88,ch6:40|ch7:26|ch4:18|ch5:14,"p:2,p:4,p:6"
END,78,8,8.55,ch6:26|ch4:25|ch7:15|ch5:7,"p:13,p:58,p:59"
BASIC,20,8,7.87,ch4:4|ch7:4|bib:4|ch1:3,"p:2,p:6,p:8"
ASCII,92,8,7.81,ch6:28|ch4:25|ch5:21|ch2:8,"p:3,p:9,p:10"
NEXT,116,7,7.44,ch3:31|ch5:27|ch2:23|ch6:20,"p:19,p:20,p:21"
CONSTANT,45,6,7.38,ch2:20|ch6:9|ch4:7|ch3:4,"p:23,p:24,p:31"
Z80,204,7,7.36,ch6:126|ch7:43|ch5:16|ch3:13,"p:2,p:32,p:33"
IF,138,8,7.29,ch6:54|ch5:35|ch4:22|ch7:21,"p:36,p:39,p:60"
EXECUTE,47,6,7.14,ch2:14|ch3:12|ch5:9|ch6:7,"p:13,p:15,p:19"
OK,42,7,7.05,ch6:13|ch4:9|ch2:7|ch7:5,"p:3,p:10,p:15"
FORGET,15,7,6.72,ch2:4|ch6:4|ch4:2|ch8:2,"p:26,p:73,p:85"
SEMI,40,6,6.52,ch3:17|ch2:12|ch4:5|ch6:4,"p:19,p:20,p:21"
CURRENT,70,7,6.27,ch6:41|ch4:12|ch2:7|ch5:7,"p:26,p:47,p:56"
ELSE,92,7,6.27,ch6:35|ch7:23|ch4:18|ch5:12,"p:60,p:61,p:62"
SEARCH,28,5,6.18,ch5:17|ch6:8|ch2:1|ch4:1,"p:15,p:57,p:80"
DUP,85,6,6.07,ch3:35|ch6:22|ch2:12|ch7:12,"p:13,p:23,p:30"
CODE,75,6,6.04,ch6:33|ch2:13|ch5:13|ch4:9,"p:19,p:20,p:22"
